Číslo,Datum,Začátek,Konec,Doba trvání,Projekt,Popis,Přestávky,Štítky
31,2. prosince 2013,7:05,12:24,5.32,Proefes - Muni,Drill učitel,0.0,Vývoj
31,2. prosince 2013,12:54,16:08,3.23,Proefes - Muni,Drill učitel,0.0,Vývoj
32,3. prosince 2013,7:05,12:12,5.12,Proefes - Muni,Drill,0.0,Vývoj
32,3. prosince 2013,12:36,15:35,2.98,Proefes - Muni,Drill,0.0,Vývoj
33,4. prosince 2013,7:29,8:15,0.77,Proefes - Muni,Drill,0.0,Vývoj
62,4. prosince 2013,8:15,12:35,4.33,Oriflame,Migrace,0.0,Vývoj
62,4. prosince 2013,13:04,22:32,9.47,Oriflame,Migrace,0.0,Vývoj
63,5. prosince 2013,8:50,11:43,2.88,Oriflame,Migrace dat,0.0,"Testování, Vývoj"
63,5. prosince 2013,12:07,16:43,4.6,Oriflame,Migrace dat,0.0,"Testování, Vývoj"
64,6. prosince 2013,7:00,7:30,0.5,Oriflame,Drill,0.0,Vývoj
65,6. prosince 2013,9:40,11:31,1.85,Oriflame,Migrace,0.0,Vývoj
65,6. prosince 2013,12:03,17:14,5.18,Oriflame,Migrace,0.0,Vývoj
66,7. prosince 2013,7:15,11:49,4.57,Oriflame,Migrace,0.0,"Testování, Vývoj"
34,7. prosince 2013,19:29,20:29,1.0,Proefes - Muni,Drill,0.0,Vývoj
35,9. prosince 2013,7:04,11:43,4.65,Proefes - Muni,Drill,0.0,Vývoj
35,9. prosince 2013,12:15,17:38,5.38,Proefes - Muni,Drill,0.0,Vývoj
67,10. prosince 2013,7:00,8:00,1.0,Oriflame,Drill,0.0,Vývoj
68,10. prosince 2013,8:00,12:18,4.3,Oriflame,Migrace,0.0,Migrace
36,10. prosince 2013,12:53,15:36,2.72,Proefes - Muni,Drill,0.0,Vývoj
37,11. prosince 2013,7:05,11:30,4.42,Proefes - Muni,Drill,0.0,Vývoj
38,11. prosince 2013,11:30,12:37,1.12,Proefes - Muni,Migrace,0.0,Migrace
39,11. prosince 2013,13:09,17:30,4.35,Proefes - Muni,"Drill, debugreport",0.0,Vývoj
40,12. prosince 2013,7:08,12:06,4.97,Proefes - Muni,Drill,0.0,Vývoj
40,12. prosince 2013,12:41,18:02,5.35,Proefes - Muni,Drill,0.0,Vývoj
41,13. prosince 2013,7:15,12:20,5.08,Proefes - Muni,"Drill - opravy, prezentace Pavlovi",0.0,Vývoj
41,13. prosince 2013,12:48,16:01,3.22,Proefes - Muni,"Drill - opravy, prezentace Pavlovi",0.0,Vývoj
8,13. prosince 2013,16:02,17:40,1.63,Porady,Závěr roku,0.0,Porada
42,16. prosince 2013,6:55,14:00,7.08,Proefes - Muni,Drill opravy,0.0,Vývoj
42,16. prosince 2013,14:24,15:09,0.75,Proefes - Muni,Drill opravy,0.0,Vývoj
43,17. prosince 2013,7:10,11:37,4.45,Proefes - Muni,Drill,0.0,Vývoj
43,17. prosince 2013,11:57,12:29,0.53,Proefes - Muni,Drill,0.0,Vývoj
43,17. prosince 2013,14:22,15:45,1.38,Proefes - Muni,Drill,0.0,Vývoj
44,18. prosince 2013,7:03,13:17,6.23,Proefes - Muni,"Drill, připomínky zákazníka, doplňování funkčnosti",0.0,Vývoj
44,18. prosince 2013,13:43,17:09,3.43,Proefes - Muni,"Drill, připomínky zákazníka, doplňování funkčnosti",0.0,Vývoj
45,19. prosince 2013,7:05,10:30,3.42,Proefes - Muni,Drill připomínky,0.0,Vývoj
69,19. prosince 2013,10:30,13:15,2.75,Oriflame,Migrace,0.0,"Migrace, Vývoj"
69,19. prosince 2013,13:34,16:49,3.25,Oriflame,Migrace,0.0,"Migrace, Vývoj"
46,20. prosince 2013,6:58,10:52,3.9,Proefes - Muni,Drill,0.0,Vývoj
46,20. prosince 2013,11:01,11:55,0.9,Proefes - Muni,Drill,0.0,Vývoj
46,20. prosince 2013,14:00,14:00,0.0,Proefes - Muni,Drill,0.0,Vývoj
70,20. prosince 2013,14:00,20:18,6.3,Oriflame,Oprava migrovaných dat,0.0,Migrace
