Číslo,Datum,Začátek,Konec,Doba trvání,Projekt,Popis,Přestávky,Štítky
1,20. ledna 2014,7:11,11:07,3.93,VŠB,My page,0.0,Vývoj
2,20. ledna 2014,12:10,12:44,0.57,VŠB,Semester overview,0.0,Vývoj
2,20. ledna 2014,13:08,14:41,1.55,VŠB,Semester overview,0.0,Vývoj
3,21. ledna 2014,7:30,10:36,3.1,VŠB,My page,0.0,Vývoj
4,22. ledna 2014,14:59,16:16,1.28,VŠB,My page,0.0,Vývoj
5,24. ledna 2014,7:10,9:17,2.12,VŠB,Semester overview,0.0,"Porada, Testování"
6,29. ledna 2014,7:42,11:30,3.8,VŠB,My page,0.0,Vývoj
7,29. ledna 2014,12:57,16:05,3.13,VŠB,Semester overview,0.0,Vývoj
8,30. ledna 2014,7:42,11:43,4.02,VŠB,Semester overview,0.0,Vývoj
8,30. ledna 2014,12:02,15:49,3.78,VŠB,Semester overview,0.0,Vývoj
9,3. února 2014,7:05,8:15,1.17,VŠB,Semestr overview,0.0,Vývoj
10,3. února 2014,11:19,11:57,0.63,VŠB,Semestr overview,0.0,Vývoj
10,3. února 2014,12:12,15:37,3.42,VŠB,Semestr overview,0.0,Vývoj
11,4. února 2014,7:00,12:51,5.85,VŠB,Semester overview,0.0,Vývoj
12,4. února 2014,13:07,13:50,0.72,VŠB,Semestr overview - řazení,0.0,Vývoj
13,6. února 2014,7:14,8:45,1.52,VŠB,Semester overview,0.0,Vývoj
14,24. února 2014,7:05,11:44,4.65,VŠB,Semester overview,0.0,Vývoj
14,24. února 2014,12:02,15:40,3.63,VŠB,Semester overview,0.0,Vývoj
15,25. února 2014,7:29,12:07,4.63,VŠB,Semester overview,0.0,Vývoj
15,25. února 2014,12:23,14:02,1.65,VŠB,Semester overview,0.0,Vývoj
16,25. února 2014,14:45,15:06,0.35,VŠB,Semester overview,0.0,Vývoj
17,26. února 2014,7:35,10:02,2.45,VŠB,Semester overview,0.0,Vývoj
18,27. února 2014,7:29,9:07,1.63,VŠB,Plagiáty,0.0,Vývoj
