Datum,Začátek,Konec,Doba trvání,rel. Doba trvání,Projekt,Popis
4. srpna 2014,6:45,10:30,3.75,3.75,Pragodata,Po dovolené
4. srpna 2014,10:30,15:27,4.95,4.7,CAVS,Struktura db
5. srpna 2014,7:45,16:23,8.63,8.25,CAVS,Crm modul
6. srpna 2014,7:15,15:13,7.97,7.97,CAVS,Čem organizace
7. srpna 2014,7:30,15:43,8.22,8.22,CAVS,Organizace
8. srpna 2014,7:12,8:08,0.93,0.93,CAVS,Organizace
8. srpna 2014,8:09,12:06,3.95,3.95,Real Progress Brno,změny v sreality
8. srpna 2014,12:35,15:46,3.18,3.18,CAVS,"Organizace, kontakty"
11. srpna 2014,7:20,15:40,8.33,8.33,CAVS,"Organizace, kontakty"
12. srpna 2014,7:10,15:36,8.43,8.0,CAVS,"Organizace, osoby"
13. srpna 2014,7:56,10:26,2.5,2.5,CAVS,Person
13. srpna 2014,10:26,14:35,4.15,3.27,Moje ID,Upgrade a oprava
13. srpna 2014,14:35,16:44,2.15,2.15,CAVS,"Řazení, stránkování"
14. srpna 2014,6:56,12:51,5.92,5.63,CAVS,Události
14. srpna 2014,12:51,13:15,0.4,0.4,Moje ID,Oprava odstranění uživatele
14. srpna 2014,13:16,15:53,2.62,2.62,CAVS,Udalosti
15. srpna 2014,7:01,15:48,8.78,8.4,CAVS,Události
18. srpna 2014,7:00,15:35,8.58,8.1,CAVS,Úkoly
19. srpna 2014,7:01,15:35,8.57,8.27,CAVS,Úprava gui
20. srpna 2014,6:56,7:06,0.17,0.17,VŠB,Email
20. srpna 2014,7:06,7:45,0.65,0.65,L. P. Elektro,Odhad pracnosti
20. srpna 2014,7:46,8:25,0.65,0.65,CAVS,Úprava GUI
20. srpna 2014,8:26,11:15,2.82,2.82,VŠB,Synchro skript
20. srpna 2014,11:15,13:50,2.58,2.18,CAVS,Gui
20. srpna 2014,13:50,14:19,0.48,0.48,VŠB,Synchro skript
20. srpna 2014,14:19,15:09,0.83,0.83,VŠB,Synchro skript
20. srpna 2014,15:10,15:53,0.72,0.72,CAVS,Úpravy GUI
21. srpna 2014,6:45,16:04,9.32,8.78,CAVS,GUI
21. srpna 2014,20:46,20:47,0.02,0.02,CAVS,
22. srpna 2014,6:59,15:19,8.33,7.98,4 IT,Povinné user fields
25. srpna 2014,7:22,11:20,3.97,3.97,4 IT,Povinná pole v profilu
25. srpna 2014,11:21,12:36,1.25,0.77,CAVS,"GUI, vazba na moodle"
25. srpna 2014,12:37,13:58,1.35,1.35,PMC,"Povinná pole, payment"
25. srpna 2014,14:00,16:03,2.05,2.05,CAVS,našeptávač
26. srpna 2014,7:15,8:23,1.13,1.13,PMC,Info o platbě
26. srpna 2014,8:24,12:30,4.1,4.1,CAVS,"Events, gui"
26. srpna 2014,12:30,13:14,0.73,0.73,Bruntál,Seznámení
26. srpna 2014,13:14,15:24,2.17,2.17,CAVS,"Události, gui"
27. srpna 2014,7:07,13:09,6.03,5.7,CAVS,Události
27. srpna 2014,13:09,15:33,2.4,2.4,Bruntál,auth pnir
28. srpna 2014,7:19,15:50,8.52,8.22,Bruntál,"Auth, web služby"
29. srpna 2014,7:04,8:01,0.95,0.95,Bruntál,Web služby
29. srpna 2014,8:01,11:03,3.03,3.03,PMC,Úpravy od Marka
29. srpna 2014,11:04,12:23,1.32,1.32,4 IT,"Nastavení, manuál"
29. srpna 2014,12:50,15:37,2.78,2.78,Bruntál,Kohorta do kurzu
