Číslo,Datum,Začátek,Konec,Doba trvání,Projekt,Popis,Přestávky,Štítky
59,5. května 2014,8:08,15:52,7.73,VŠOH,"Kontrola běhu skriptu, drobné opravy",0.0,"Testování, Vývoj"
60,6. května 2014,6:58,7:45,0.78,VŠOH,Kontrola,0.0,"Testování, Vývoj"
23,6. května 2014,7:45,12:05,4.33,VŠB,"Akreditace, certifikace",0.0,Vývoj
23,6. května 2014,12:23,13:00,0.62,VŠB,"Akreditace, certifikace",0.0,Vývoj
94,6. května 2014,13:00,15:25,2.42,Oriflame,Exporty,0.0,Vývoj
61,7. května 2014,7:27,12:17,4.83,VŠOH,Plagiáty zrychlování,0.0,Vývoj
61,7. května 2014,12:48,16:15,3.45,VŠOH,Plagiáty zrychlování,0.0,Vývoj
62,12. května 2014,8:35,12:11,3.6,VŠOH,Iss zrychlování,0.0,Vývoj
62,12. května 2014,12:25,16:51,4.43,VŠOH,Iss zrychlování,0.0,Vývoj
63,13. května 2014,7:13,12:18,5.08,VŠOH,Iss zrychlování,0.0,Vývoj
63,13. května 2014,12:35,13:48,1.22,VŠOH,Iss zrychlování,0.0,Vývoj
24,13. května 2014,13:48,15:38,1.83,VŠB,Akreditace,0.0,Vývoj
25,14. května 2014,7:13,7:42,0.48,VŠB,Akreditace,0.0,Vývoj
1,14. května 2014,7:43,12:10,4.45,Moje ID,Implementace,0.0,Vývoj
1,14. května 2014,12:44,15:42,2.97,Moje ID,Implementace,0.0,Vývoj
2,15. května 2014,7:13,9:00,1.78,Moje ID,Implementace,0.0,Vývoj
24,15. května 2014,9:00,12:04,3.07,Pragodata,Moodle moot slevový kód,0.0,Vývoj
24,15. května 2014,12:20,16:24,4.07,Pragodata,Moodle moot slevový kód,0.0,Vývoj
3,16. května 2014,7:12,11:56,4.73,Moje ID,Implementace,0.0,Vývoj
3,16. května 2014,12:21,15:27,3.1,Moje ID,Implementace,0.0,Vývoj
1,19. května 2014,8:27,11:49,3.37,ČŠI,Možnost exportu docx; oprava Moodle 2.7 dialogů,0.0,"Testování, Vývoj"
1,19. května 2014,12:11,14:39,2.47,ČŠI,Možnost exportu docx; oprava Moodle 2.7 dialogů,0.0,"Testování, Vývoj"
4,19. května 2014,14:40,16:49,2.15,Moje ID,Implementacei,0.0,Vývoj
5,20. května 2014,7:23,12:03,4.67,Moje ID,Implementace,0.0,Vývoj
