Datum,Začátek,Konec,Doba trvání,rel. Doba trvání,Projekt,Popis
1. října 2014,7:27,10:07,2.67,2.67,VŠB,WS
1. října 2014,10:07,16:00,5.88,5.57,PMC,"Kontrola uživ. polí, badges"
2. října 2014,7:40,8:31,0.85,0.85,VŠB,Float návratová hodnota
2. října 2014,8:32,9:23,0.85,0.85,Pragodata,výpadek internetu
2. října 2014,9:24,10:19,0.92,0.92,PMC,Badges
2. října 2014,10:20,11:39,1.32,1.32,Bruntál,Ldap
2. října 2014,11:39,13:08,1.48,1.22,PMC,Badges
2. října 2014,13:09,16:13,3.07,3.07,Bruntál,Synchro
3. října 2014,7:08,15:03,7.92,7.6,Bruntál,Synchro
3. října 2014,15:04,15:51,0.78,0.78,PMC,Odznaky
6. října 2014,7:32,8:00,0.47,0.47,Bruntál,Synchro
6. října 2014,8:00,10:40,2.67,2.67,PMC,Badges
6. října 2014,10:41,16:05,5.4,4.95,VŠB,Ws
7. října 2014,7:09,14:19,7.17,6.22,VŠB,Ws
7. října 2014,14:19,15:40,1.35,1.35,Bruntál,Zapomenuté heslo
8. října 2014,7:09,9:28,2.32,2.32,FDV,SQL pro sestavu
8. října 2014,9:29,11:31,2.03,2.03,PMC,user to cohot
8. října 2014,11:32,11:45,0.22,0.22,VŠB,Email
8. října 2014,11:46,12:45,0.98,0.67,PMC,User to cohort
8. října 2014,12:45,13:00,0.25,0.25,VŠB,Ws
8. října 2014,13:00,14:01,1.02,1.02,tazak.cz,Porada
8. října 2014,14:01,16:12,2.18,2.18,VŠB,WS
9. října 2014,7:17,10:30,3.22,3.22,VŠB,Ws
9. října 2014,10:30,12:42,2.2,1.8,Bruntál,Auth pnir
9. října 2014,12:42,16:43,4.02,4.02,VŠB,Ws
10. října 2014,6:53,9:23,2.5,2.5,VŠB,"WS, nasazení nové verze"
10. října 2014,9:23,13:36,4.22,4.0,PMC,Auto enrol to cohort
10. října 2014,13:36,14:44,1.13,1.13,VŠB,WS
13. října 2014,7:29,11:13,3.73,3.73,VŠB,WS
13. října 2014,11:13,17:15,6.03,4.38,PMC,"WS, events"
14. října 2014,7:15,13:27,6.2,5.72,Bruntál,"Synchro, novy školní rok, oprava"
14. října 2014,13:28,15:32,2.07,2.07,VŠB,Ws
15. října 2014,6:59,9:56,2.95,2.95,VŠB,WS
15. října 2014,9:57,11:17,1.33,1.33,tazak.cz,Import dat
15. října 2014,11:17,16:19,5.03,4.58,VŠB,WS
16. října 2014,7:23,8:23,1.0,1.0,tazak.cz,Import
16. října 2014,8:23,13:11,4.8,4.8,VŠB,WS události
16. října 2014,13:11,13:44,0.55,0.55,Pragodata,Úklid skla
16. října 2014,14:06,14:40,0.57,0.57,VŠB,WS události
16. října 2014,14:41,15:30,0.82,0.82,Bruntál,USERS
16. října 2014,15:30,16:05,0.58,0.58,Pragodata,"Bob, joomla traverzovani"
17. října 2014,7:04,8:50,1.77,1.77,Bruntál,Pnir vs moodle uživatelé
17. října 2014,8:51,14:00,5.15,4.35,VŠB,"WS, podmíněné odstranění termínu a zápisu na termín, vracení výsledků neakreditovaneho testu"
17. října 2014,14:00,15:37,1.62,1.62,Bruntál,Oprava nového ročníku
20. října 2014,7:00,15:31,8.52,8.23,Bruntál,"Uživatele, auth"
21. října 2014,7:04,9:30,2.43,2.43,Bruntál,Auth
21. října 2014,9:30,12:42,3.2,3.2,tazak.cz,"Import, MySQL dotaz"
21. října 2014,13:02,14:01,0.98,0.98,Oriflame,Dump
21. října 2014,14:01,14:24,0.38,0.38,Bruntál,Auth
21. října 2014,14:24,15:36,1.2,1.2,VŠB,WS
22. října 2014,7:00,8:34,1.57,1.57,VŠB,"WS, jejich WS"
22. října 2014,8:34,10:00,1.43,1.43,FDV,Certifikáty
22. října 2014,10:00,15:57,5.95,5.23,PMC,User fields
23. října 2014,6:50,12:36,5.77,5.77,VŠB,WS
23. října 2014,12:36,15:19,2.72,2.02,PMC,Badges
23. října 2014,15:20,16:04,0.73,0.73,VŠB,Volání WS
24. října 2014,6:59,8:51,1.87,1.87,Oriflame,Novy server
24. října 2014,8:52,12:34,3.7,3.7,VŠB,Volání jejich WS
24. října 2014,12:35,14:53,2.3,1.83,Oriflame,Novy server
24. října 2014,14:54,15:28,0.57,0.57,VŠB,Volání jejich WS
27. října 2014,10:00,10:36,0.6,0.6,FDV,Sestava certifikáty
27. října 2014,10:37,16:12,5.58,5.58,Bruntál,Obnova hesel moodle
29. října 2014,7:00,8:00,1.0,1.0,Bruntál,Editace a vytvoření uživatele
29. října 2014,10:15,13:42,3.45,2.8,Bruntál,Editace a vytvoření uzivatele
29. října 2014,13:43,16:45,3.03,3.03,PMC,Tlačítko Zpět do kurzu
29. října 2014,17:00,18:30,1.5,1.5,PMC,Oprava moodle hesel
30. října 2014,7:16,10:00,2.73,2.73,Bruntál,Obnova moodle hesel
30. října 2014,10:00,10:47,0.78,0.78,PMC,Tlačítko návrat do kurzu
30. října 2014,10:48,13:25,2.62,2.25,Bruntál,Obnova moodle hesel
30. října 2014,13:26,15:37,2.18,2.18,VŠOH,Kamery VPN
31. října 2014,7:41,16:08,8.45,8.2,VŠB,Volání jejich WS
